ファイル名,4桁コード,名称,分類
dm-2219.svg,2219,道路のトンネル,標準図式
dm-2221.svg,2221,バス停,標準図式
dm-2238.svg,2238,並木,標準図式
dm-2239.svg,2239,植樹,標準図式
dm-2242.svg,2242,道路標識_道路,標準図式
dm-2243.svg,2243,道路標識_道路,標準図式
dm-2244.svg,2244,道路標識_道路,標準図式
dm-2245.svg,2245,道路標識_道路,拡張DM
dm-2246.svg,2246,信号灯,標準図式
dm-2253.svg,2253,カーブミラー,標準図式
dm-2261.svg,2261,電話ボックス,標準図式
dm-2262.svg,2262,郵便ポスト,標準図式
dm-3401.svg,3401,門,標準図式
dm-3509.svg,3509,郵便局,標準図式
dm-3510.svg,3510,森林管理署,標準図式
dm-3514.svg,3514,警察署,標準図式
dm-3515.svg,3515,交番・駐在所,標準図式
dm-3516.svg,3516,消防署,標準図式
dm-3519.svg,3519,役場支所及び出張所,標準図式
dm-3521.svg,3521,神社,標準図式
dm-3522.svg,3522,寺院,標準図式
dm-3523.svg,3523,キリスト教会,標準図式
dm-3525.svg,3525,幼稚園・保育園,標準図式
dm-3526.svg,3526,公会堂・公民館,標準図式
dm-3530.svg,3530,老人ホーム,標準図式
dm-3531.svg,3531,保健所,標準図式
dm-3532.svg,3532,病院,標準図式
dm-3534.svg,3534,銀行,標準図式
dm-3536.svg,3536,協同組合,標準図式
dm-3545.svg,3545,倉庫,標準図式
dm-3546.svg,3546,火薬庫,標準図式
dm-3548.svg,3548,工場,標準図式
dm-3550.svg,3550,変電所,標準図式
dm-3556.svg,3556,揚排水ポンプ場,標準図式
dm-3559.svg,3559,公衆便所,標準図式
dm-3560.svg,3560,ガソリンスタンド,標準図式
dm-4101.svg,4101,マンホール（未分類）,標準図式
dm-4111.svg,4111,マンホール（共同溝）,標準図式
dm-4121.svg,4121,マンホール（ガス）,標準図式
dm-4131.svg,4131,マンホール（電話）,標準図式
dm-4132.svg,4132,電話柱,標準図式
dm-4141.svg,4141,マンホール（電気）,標準図式
dm-4142.svg,4142,電力柱,標準図式
dm-4151.svg,4151,マンホール（下水）,標準図式
dm-4161.svg,4161,マンホール（水道）,標準図式
dm-4201.svg,4201,墓碑,標準図式
dm-4202.svg,4202,記念碑,標準図式
dm-4203.svg,4203,立像,標準図式
dm-4204.svg,4204,路傍祠,標準図式
dm-4205.svg,4205,灯ろう,標準図式
dm-4207.svg,4207,鳥居,標準図式
dm-4215.svg,4215,消火栓,標準図式
dm-4216.svg,4216,消火栓 立型,標準図式
dm-4219.svg,4219,坑口,標準図式
dm-4221.svg,4221,独立樹（広葉樹）,標準図式
dm-4222.svg,4222,独立樹（針葉樹）,標準図式
dm-4228.svg,4228,起重機,標準図式
dm-4231.svg,4231,タンク,標準図式
dm-4234.svg,4234,煙突,標準図式
dm-4235.svg,4235,高塔,標準図式
dm-4236.svg,4236,電波塔,標準図式
dm-4237.svg,4237,照明灯,標準図式
dm-4238.svg,4238,防犯灯,標準図式
dm-4239.svg,4239,風車,標準図式
dm-4241.svg,4241,灯台,標準図式
dm-4243.svg,4243,灯標,標準図式
dm-4251.svg,4251,水位観測所,標準図式
dm-5105.svg,5105,湖池,標準図式
dm-5221.svg,5221,渡船発着所,標準図式
dm-5226.svg,5226,滝,標準図式
dm-5227.svg,5227,せき,標準図式
dm-5228.svg,5228,水門,標準図式
dm-5232.svg,5232,透過水制,標準図式
dm-5241.svg,5241,流水方向,標準図式
dm-6212.svg,6212,駐車場,標準図式
dm-6214.svg,6214,園庭,標準図式
dm-6215.svg,6215,墓地,標準図式
dm-6216.svg,6216,材料置場,標準図式
dm-6217.svg,6217,太陽光発電設備,標準図式
dm-6222.svg,6222,温泉・鉱泉,標準図式
dm-6226.svg,6226,史跡・名勝・天然記念物,標準図式
dm-6311.svg,6311,田,標準図式
dm-6313.svg,6313,畑,標準図式
dm-6314.svg,6314,さとうきび畑,標準図式
dm-6317.svg,6317,桑畑,標準図式
dm-6318.svg,6318,茶畑,標準図式
dm-6319.svg,6319,果樹園,標準図式
dm-6321.svg,6321,その他の樹木畑,標準図式
dm-6322.svg,6322,牧草地,標準図式
dm-6323.svg,6323,芝地,標準図式
dm-6331.svg,6331,広葉樹林,標準図式
dm-6332.svg,6332,針葉樹林,標準図式
dm-6333.svg,6333,竹林,標準図式
dm-6334.svg,6334,荒地,標準図式
dm-6335.svg,6335,はい松地,標準図式
dm-6336.svg,6336,しの地（笹地）,標準図式
dm-6337.svg,6337,やし科樹林,標準図式
dm-6338.svg,6338,湿地,標準図式
dm-6340.svg,6340,砂れき地,標準図式
dm-7201.svg,7201,土がけ,標準図式
dm-7202.svg,7202,雨裂,標準図式
