コード,名称,判定,比率差,アイコン→図式,図式→アイコン,根拠
2219,道路のトンネル,要確認,54.2,19.6,38.7,
2221,バス停,一致,1.0,93.6,93.6,
2235,雨水桝,図式外,74.8,6.6,20.3,図式に点記号の定義が無く、意匠の根拠は図面の実測
2238,並木,要確認,53.8,16.8,34.8,
2239,植樹,要確認,84.2,7.4,23.9,
2242,道路標識案内,要確認,25.1,63.7,51.0,
2243,道路標識警戒,要確認,1013.0,51.0,100.0,
2244,道路標識規制,要確認,7.2,26.4,43.1,
2246,信号灯,要確認,25.2,57.1,87.8,
2253,カーブミラー,要確認,4.5,49.1,99.7,
2261,電話ボックス,一致,1.9,90.3,94.9,
2262,郵便ポスト,要確認,1.3,95.0,84.9,
3401,門,要確認,81.9,2.8,38.9,
3503,官公署,要確認,0.3,94.2,68.4,
3504,裁判所,一致,3.0,94.4,93.7,
3505,検察庁,一致,3.7,93.2,91.8,
3507,税務署,要確認,7.8,94.0,91.1,
3508,税関,要確認,8.1,95.8,85.3,
3509,郵便局,要確認,1.7,46.2,100.0,
3510,森林管理署,要確認,5.8,96.9,100.0,
3511,測候所,一致,1.8,92.0,96.6,
3512,地方整備局事務所,字入り,0.0,75.7,62.0,字形は書体差（図式の書体ではなく Noto Sans JP）
3513,出張所,字入り,2.8,49.2,92.3,字形は書体差（図式の書体ではなく Noto Sans JP）
3514,警察署,一致,1.2,86.3,86.9,
3515,交番,一致,0.6,100.0,100.0,
3516,消防署,要確認,59.0,49.5,21.0,
3517,職業安定所（ハローワーク）,字入り,1.7,72.5,83.5,字形は書体差（図式の書体ではなく Noto Sans JP）
3518,土木事務所,字入り,0.0,65.8,67.1,字形は書体差（図式の書体ではなく Noto Sans JP）
3519,役場支所及び出張所,要確認,1.2,100.0,55.2,
3521,神社,一致,1.7,92.7,94.7,
3522,寺院,一致,1.9,91.4,98.2,
3523,キリスト教会,一致,1.3,100.0,100.0,
3524,学校,一致,0.3,100.0,100.0,
3525,幼稚園・保育園,一致,2.3,95.8,96.6,
3526,公会堂・公民館,一致,2.4,93.9,96.6,
3527,博物館,字入り,1.7,41.3,100.0,字形は書体差（図式の書体ではなく Noto Sans JP）
3528,図書館,字入り,0.6,40.6,100.0,字形は書体差（図式の書体ではなく Noto Sans JP）
3529,美術館,字入り,1.1,42.9,100.0,字形は書体差（図式の書体ではなく Noto Sans JP）
3530,老人ホーム,検証不可,,,,図式が塗りだけで描かれていて基準形状が取れない
3531,保健所,字入り,1.2,65.8,69.3,字形は書体差（図式の書体ではなく Noto Sans JP）
3532,病院,一致,4.3,94.6,99.9,
3534,銀行,要確認,68.4,17.3,22.8,
3536,協同組合,一致,1.7,93.3,94.6,
3539,デパート,字入り,4.5,43.3,99.4,字形は書体差（図式の書体ではなく Noto Sans JP）
3545,倉庫,要確認,59.6,11.3,34.8,
3546,火薬庫,要確認,5.4,61.7,82.7,
3548,工場,要確認,4.1,96.6,76.8,
3549,発電所,要確認,7.6,96.4,89.7,
3550,変電所,要確認,3.1,99.0,83.4,
3552,浄水場,字入り,1.2,46.2,100.0,字形は書体差（図式の書体ではなく Noto Sans JP）
3553,揚水機場,一致,2.6,96.7,100.0,
3556,揚・排水機場,要確認,65.4,22.1,28.3,
3557,排水機場,一致,2.6,93.1,99.3,
3559,公衆便所,字入り,2.9,96.4,77.0,字形は書体差（図式の書体ではなく Noto Sans JP）
3560,ガソリンスタンド,検証不可,,,,図式が塗りだけで描かれていて基準形状が取れない
4101,マンホール（未分類）,一致,0.0,93.8,95.2,
4111,マンホール（共同溝）,要確認,5.1,88.5,92.3,
4119,有線柱,一致,0.3,94.3,90.4,
4121,マンホール（ガス）,要確認,0.8,88.6,83.8,
4131,マンホール（電話）,一致,3.1,85.8,98.5,
4132,電話柱,要確認,24.5,58.9,47.7,
4141,マンホール（電気）,一致,1.5,85.8,85.6,
4142,電力柱,一致,4.0,93.6,85.3,
4151,マンホール（下水）,一致,3.7,91.5,92.1,
4161,マンホール（水道）,一致,4.4,85.8,92.3,
4201,墓碑,一致,4.8,95.8,99.2,
4202,記念碑,要確認,3.3,93.2,68.9,
4203,立像,一致,1.2,89.9,97.4,
4204,路傍祠,要確認,20.8,14.6,12.3,
4205,灯ろう,一致,1.7,96.5,98.2,
4206,狛犬,要確認,5.2,100.0,61.2,
4207,鳥居,要確認,12.7,93.1,85.6,
4208,自然災害伝承碑,要確認,6.7,93.2,86.4,
4211,官民境界杭,一致,0.4,97.5,100.0,
4215,消火栓,一致,0.9,90.3,86.2,
4216,消火栓立型,要確認,0.0,94.8,80.5,
4217,地下換気孔,判断あり,0.8,100.0,100.0,真形の外枠は記号ではないので除外（点アイコンは極小記号を採る）
4219,坑口,要確認,60.2,14.6,34.4,
4221,独立樹（広葉樹）,要確認,8.2,92.4,70.0,
4222,独立樹（針葉樹）,要確認,21.0,97.7,86.8,
4223,噴水,一致,0.2,100.0,99.7,
4224,井戸,字入り,3.3,96.9,82.5,字形は書体差（図式の書体ではなく Noto Sans JP）
4225,油井・ガス井,一致,0.6,100.0,100.0,
4226,貯水槽,字入り,0.8,99.5,93.8,字形は書体差（図式の書体ではなく Noto Sans JP）
4227,肥料槽,字入り,2.3,86.9,78.6,字形は書体差（図式の書体ではなく Noto Sans JP）
4228,起重機,要確認,6.9,87.7,66.1,
4231,タンク,要確認,62.5,15.1,29.8,
4232,給水塔,一致,0.2,89.8,92.2,
4233,火の見,一致,0.4,97.5,96.2,
4234,煙突,要確認,14.2,81.4,98.8,
4235,高塔,要確認,57.9,1.5,5.4,
4236,電波塔,要確認,7.4,82.4,85.7,
4237,照明灯,要確認,1.1,85.5,77.9,
4238,防犯灯,要確認,3.6,99.6,84.3,
4239,風車,要確認,11.3,64.9,80.4,
4241,灯台,要確認,5.2,84.6,72.8,
4242,航空灯台,判断あり,2.5,98.0,87.4,上の箱の外側の縦線2本は2.6mmの寸法を示す補助線なので除外
4243,灯標,要確認,4.3,86.5,71.9,
4245,ヘリポート,字入り,3.5,61.0,53.4,字形は書体差（図式の書体ではなく Noto Sans JP）
4251,水位観測所,一致,1.0,94.8,100.0,
4252,流量観測所,一致,0.5,96.2,97.4,
4253,雨量観測所,要確認,5.7,98.7,85.0,
4254,水質観測所,要確認,1.8,97.2,77.1,
4255,波浪観測所,一致,0.2,100.0,100.0,
4256,風向・風速観測所,要確認,0.1,78.0,86.5,
5105,湖池,要確認,3.6,72.8,97.3,
5221,渡船発着所,要確認,53.5,0.0,0.0,
5226,滝,要確認,3.3,11.8,26.0,
5227,せき,要確認,193.9,24.2,33.3,
5228,水門,要確認,113.5,23.0,34.1,
5232,透過水制,図式外,29.8,12.5,31.5,図式に点記号の定義が無く、意匠の根拠は図面の実測
5241,流水方向,要確認,452.5,41.3,7.7,
6212,駐車場,要確認,1.8,93.6,68.6,
6214,園庭,要確認,17.2,95.7,43.4,
6215,,要確認,14.3,95.5,89.4,
6216,材料置場,一致,2.1,95.0,100.0,
6217,太陽光発電設備,要確認,95.2,22.8,83.9,
6221,噴火口・噴気口,座標写し,0.6,93.7,83.3,図式の座標を写したので自己参照。目視レビュー済み
6222,温泉・鉱泉,要確認,4.4,73.0,53.3,
6223,陵墓,座標写し,4.7,95.3,100.0,図式の座標を写したので自己参照。目視レビュー済み
6224,古墳,要確認,10.0,93.9,94.4,
6225,城・城跡,要確認,1.3,100.0,47.6,
6226,史跡・名勝・天然記念物,要確認,8.7,25.7,30.1,
6311,田,要確認,5.7,73.1,100.0,
6312,はす田,一致,2.2,87.0,90.7,
6313,畑,要確認,14.9,78.1,100.0,
6314,さとうきび畑,要確認,16.6,75.9,94.9,
6315,パイナップル畑,要確認,0.5,78.0,97.3,
6316,わさび畑,座標写し,1.1,82.9,97.4,図式の座標を写したので自己参照。目視レビュー済み
6317,桑畑,要確認,1.1,78.9,97.5,
6318,茶畑,要確認,14.3,40.2,41.9,
6319,果樹園,一致,0.7,95.6,92.3,
