コード,名称,レイヤ,レイヤ名
1100,未分類,11,境界・所属界
1101,都府県界,11,境界・所属界
1102,北海道の支庁界,11,境界・所属界
1103,郡市・東京都の区界,11,境界・所属界
1104,町村・指定都市の区界,11,境界・所属界
1106,大字・町・丁目界,11,境界・所属界
1107,小字界,11,境界・所属界
1110,所属界,11,境界・所属界
1111,行政区の代表点,11,境界・所属界
2100,未分類,21,道路
2101,道路縁（街区線）,21,道路
2102,軽車道,21,道路
2103,徒歩道,21,道路
2106,庭園路等,21,道路
2107,トンネル内の道路,21,道路
2109,建設中の道路,21,道路
2200,未分類,22,道路施設
2203,道路橋（高架部）,22,道路施設
2204,木橋,22,道路施設
2205,徒橋,22,道路施設
2206,桟道橋,22,道路施設
2211,横断歩道橋,22,道路施設
2212,地下横断歩道,22,道路施設
2213,歩道,22,道路施設
2214,石段,22,道路施設
2215,地下街・地下鉄等出入口,22,道路施設
2219,道路のトンネル,22,道路施設
2221,バス停,22,道路施設
2222,安全地帯,22,道路施設
2226,分離帯,22,道路施設
2227,駒止,22,道路施設
2228,道路の雪覆い等,22,道路施設
2231,側溝U字溝無蓋,22,道路施設
2232,側溝U字溝有蓋,22,道路施設
2233,側溝L字溝,22,道路施設
2234,側溝地下部,22,道路施設
2235,雨水桝,22,道路施設
2236,並木桝,22,道路施設
2237,側溝管渠型,22,道路施設
2238,並木,22,道路施設
2239,植樹,22,道路施設
2241,道路情報板,22,道路施設
2242,道路標識案内,22,道路施設
2243,道路標識警戒,22,道路施設
2244,道路標識規制,22,道路施設
2246,信号灯,22,道路施設
2247,信号灯専用ポールのないもの,22,道路施設
2251,交通量観測所,22,道路施設
2252,スノーポール,22,道路施設
2253,カーブミラー,22,道路施設
2255,距離標（km）,22,道路施設
2256,距離標（m）,22,道路施設
2261,電話ボックス,22,道路施設
2262,郵便ポスト,22,道路施設
2263,火災報知器,22,道路施設
2300,未分類,23,鉄道
2301,普通鉄道,23,鉄道
2302,地下鉄地上部,23,鉄道
2303,路面電車,23,鉄道
2304,モノレール,23,鉄道
2305,特殊鉄道,23,鉄道
2306,索道,23,鉄道
2309,建設中の鉄道,23,鉄道
2311,トンネル内の鉄道・普通鉄道,23,鉄道
2312,地下鉄地下部,23,鉄道
2313,トンネル内の鉄道・路面電車,23,鉄道
2314,トンネル内の鉄道・モノレール,23,鉄道
2315,トンネル内の鉄道・特殊鉄道,23,鉄道
2400,未分類,24,鉄道施設
2401,鉄道橋（高架部）,24,鉄道施設
2411,跨線橋,24,鉄道施設
2412,地下通路,24,鉄道施設
2419,鉄道のトンネル,24,鉄道施設
2421,停留所,24,鉄道施設
2424,プラットホーム,24,鉄道施設
2425,プラットホーム上屋,24,鉄道施設
2426,モノレール橋脚,24,鉄道施設
2428,鉄道の雪覆い等,24,鉄道施設
2501,ＩＰ（ＩＰ杭）,25,線形図・杭打ち図
2502,ＩＰ方向線,25,線形図・杭打ち図
2503,主要点（役杭）,25,線形図・杭打ち図
2504,中心点（中心杭）,25,線形図・杭打ち図
2505,中心線,25,線形図・杭打ち図
2506,その他の路線結線,25,線形図・杭打ち図
2507,役杭引出線,25,線形図・杭打ち図
2511,多角点（記号）,25,線形図・杭打ち図
2512,引照（線）,25,線形図・杭打ち図
3000,分類しない建物,30,建物
3001,普通建物,30,建物
3002,堅ろう建物,30,建物
3003,普通無壁舎,30,建物
3004,堅ろう無壁舎,30,建物
3400,未分類,34,建物の付属物
3401,門,34,建物の付属物
3402,屋門,34,建物の付属物
3403,たたき,34,建物の付属物
3404,プール,34,建物の付属物
3500,未分類,35,建物記号
3503,官公署,35,建物記号
3504,裁判所,35,建物記号
3505,検察庁,35,建物記号
3507,税務署,35,建物記号
3508,税関,35,建物記号
3509,郵便局,35,建物記号
3510,森林管理署,35,建物記号
3511,測候所,35,建物記号
3512,工事事務所,35,建物記号
3513,出張所,35,建物記号
3514,警察署,35,建物記号
3515,交番,35,建物記号
3516,消防署,35,建物記号
3517,職業安定所（ハローワーク）,35,建物記号
3518,土木事務所,35,建物記号
3519,役場支所及び出張所,35,建物記号
3521,神社,35,建物記号
3522,寺院,35,建物記号
3523,キリスト教会,35,建物記号
3524,学校,35,建物記号
3525,幼稚園・保育園,35,建物記号
3526,公会堂・公民館,35,建物記号
3527,博物館,35,建物記号
3528,図書館,35,建物記号
3529,美術館,35,建物記号
3530,老人ホーム,35,建物記号
3531,保健所,35,建物記号
3532,病院,35,建物記号
3534,銀行,35,建物記号
3536,協同組合,35,建物記号
3539,デパート,35,建物記号
3545,倉庫,35,建物記号
3546,火薬庫,35,建物記号
3548,工場,35,建物記号
3549,発電所,35,建物記号
3550,変電所,35,建物記号
