図式区分,大分類,コード,名称,データタイプ,アイコン対象,対象の根拠,取得方法,PDFページ
標準図式,境界等,1101,都府県界,E2,,,境界の位置と一致する。,45
標準図式,境界等,1102,北海道の支庁界,E2,,,境界の位置と一致する。,45
標準図式,境界等,1103,郡市・東京都の区界,E2,,,境界の位置と一致する。,45
標準図式,境界等,1104,町村・指定都市の区界,E2,,,境界の位置と一致する。,45
標準図式,境界等,1106,大字・町・丁目界,E2,,,境界の位置と一致する。,45
標準図式,境界等,1107,小字界,E2,,,境界の位置と一致する。,45
標準図式,境界等,1110,所属界,E2,,,境界の位置と一致する。,45
標準図式,交通施設,2101,道路縁（街区線）,E2,,,道路縁線を取得,46
標準図式,交通施設,2102,軽車道,E2,,,中心線を取得,46
標準図式,交通施設,2103,徒歩道,E2,,,中心線を取得,46
標準図式,交通施設,2106,庭園路等,E2,,,道路縁線を取得,46
標準図式,交通施設,2107,トンネル内の道路,E2,,,道路縁線を取得（終端は、原則として閉じない）,46
標準図式,交通施設,2109,建設中の道路,E2,,,道路縁線を取得（終端は、原則として閉じない）,47
標準図式,交通施設,2203,道路橋（高架部）,E1/E2,,,縁線を取得高欄外周を取得（始終点座標一致）橋脚親柱縁線を取得ひ開部は自動発生して表示,47
標準図式,交通施設,2204,木橋,E2,,,縁線を取得ひ開部は自動発生して表示,48
標準図式,交通施設,2205,徒橋,E2,,,中心線を取得ひ開部は自動発生して表示,48
標準図式,交通施設,2206,桟道橋,E2,,,縁線を取得橋脚外周を取得,48
標準図式,交通施設,2211,横断歩道橋,E1,,,外周を取得（始終点座標一致）,48
標準図式,交通施設,2212,地下横断歩道,E1,,,外周を取得（始終点座標一致）,48
標準図式,交通施設,2213,歩道,E2,,,車道との界線を取得,49
標準図式,交通施設,2214,石段,E2,,,縁線を取得（階段部は取得しないで石段の上端・下端は閉じない）石段（上端部）石段（下端部）階段線縁線を取得（階段部は取得しないで石段の上端・下端は閉じない）石段（上端部）石段（下端部）階段線,49
標準図式,交通施設,2215,地下街・地下鉄等出入口,E1/E2,,,外周を取得（始終点座標一致）階段線（入口から3段取得）外周を取得（始終点座標一致）階段線（入口から3段取得）,50
標準図式,交通施設,2219,道路のトンネル,E1/E2/E6,○,図式,真形坑口部分の外周を取得（始終点座標一致）真形坑口部分の外周を取得極小中央位置の点と方向を取得真形坑口部分の外周を取得（始終点座標一致）真形坑口部分の外周を取得極小中央位置の点と方向を取得,50
標準図式,交通施設,2221,バス停,E5,○,図式,位置の点情報を取得,51
標準図式,交通施設,2222,安全地帯,E1,,,外周を取得（始終点座標一致）,51
標準図式,交通施設,2226,分離帯,E1/E2,,,外周を取得（始終点座標一致）外周を取得（始終点座標一致）中心線を取得,51
標準図式,交通施設,2227,駒止,E2,,,道路側の縁部を取得,51
標準図式,交通施設,2228,道路の雪覆い等,E1,,,外周を取得（始終点座標一致）外周を取得（始終点座標一致）,51
標準図式,交通施設,2231,側溝U字溝無蓋,E2,,,縁線を取得,51
標準図式,交通施設,2232,側溝U字溝有蓋,E2,,,縁線を取得,51
標準図式,交通施設,2233,側溝L字溝,E2,,,縁線を取得,51
標準図式,交通施設,2234,側溝地下部,E2,,,地下経路縁線を取得,52
標準図式,交通施設,2235,雨水桝,E1,○,実データ,外周を取得（始終点座標一致）,52
標準図式,交通施設,2236,並木桝,E1,,,外周を取得（始終点座標一致）,52
標準図式,交通施設,2237,側溝管渠型,E2,,,縁線を取得,51
標準図式,交通施設,2238,並木,E5,○,図式,並木の位置の点情報を取得,52
標準図式,交通施設,2239,植樹,E5,○,図式,並木の位置の点情報を取得,52
標準図式,交通施設,2241,道路情報板,E6,○,図式,脚の位置の点情報と標識の向きを取得,53
標準図式,交通施設,2242,道路標識案内,E6,○,図式,脚の位置の点情報と標識の向きを取得,53
標準図式,交通施設,2243,道路標識警戒,E6,○,図式,脚の位置の点情報と標識の向きを取得,53
標準図式,交通施設,2244,道路標識規制,E6,○,図式,脚の位置の点情報と標識の向きを取得,53
標準図式,交通施設,2246,信号灯,E6,○,図式,ポールの位置と信号機の向きを取得,53
標準図式,交通施設,2247,信号灯専用ポールのないもの,E6,○,図式,信号機の位置と向きを取得,53
標準図式,交通施設,2251,交通量観測所,E5,○,図式,位置の点情報を取得,53
標準図式,交通施設,2252,スノーポール,E5,○,図式,位置の点情報を取得,53
標準図式,交通施設,2253,カーブミラー,E5,○,図式,位置の点情報を取得,53
標準図式,交通施設,2255,距離標（km）,E5/E7/E8,○,図式,位置の点情報を取得属性区分を21とし、起点からの距離程数値を整数形式(I7)で、m単位に属性レコードに格納する。,54
標準図式,交通施設,2256,距離標（m）,E5/E7/E8,○,図式,位置の点情報を取得属性区分を22とし、起点からの距離程数値を整数形式(I7)で、m単位に属性レコードに格納する。,54
標準図式,交通施設,2261,電話ボックス,E1/E5,○,図式,外周を取得（始終点座標一致）位置の点情報を取得,54
標準図式,交通施設,2262,郵便ポスト,E5,○,図式,位置の点情報を取得,54
標準図式,交通施設,2263,火災報知器,E5,○,図式,位置の点情報を取得,54
標準図式,交通施設,2301,普通鉄道,E2,,,レールを取得する中心線を取得,55
標準図式,交通施設,2302,地下鉄地上部,E2,,,レールを取得する,55
標準図式,交通施設,2303,路面鉄道,E2,,,レールを取得する中心線を取得,55
標準図式,交通施設,2304,モノレール,E2,,,中心線を取得,55
標準図式,交通施設,2305,特殊鉄道,E2,,,レールを取得する中心線を取得,55
標準図式,交通施設,2306,索道,E2,,,中心線を取得,56
標準図式,交通施設,2309,建設中の鉄道,E2,,,外周を取得,56
標準図式,交通施設,2311,トンネル内の鉄道普通鉄道,E2,,,レールを取得する,56
標準図式,交通施設,2312,地下鉄地下部,E2,,,レールを取得する,56
標準図式,交通施設,2313,トンネル内の鉄道路面鉄道,E2,,,レールを取得する,56
標準図式,交通施設,2314,トンネル内の鉄道モノレール,E2,,,中心線を取得,57
標準図式,交通施設,2315,トンネル内の鉄道特殊鉄道,E2,,,レールを取得する,57
